Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2016;0;0;0;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2017;0;0;0;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2018;148;0;0;148
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2019;0;0;0;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2020;0;0;0;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2021;0;0;0;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2022;0;0;0;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2023;0;0;0;0
4- Drâa-Tafilalet;Opérations économiques et sociales ;2016;2878;561;4800;8239
4- Drâa-Tafilalet;Opérations économiques et sociales ;2017;0;745;7504;8249
4- Drâa-Tafilalet;Opérations économiques et sociales ;2018;2843;760;6600;10203
4- Drâa-Tafilalet;Opérations économiques et sociales ;2019;0;1368;2000;3368
4- Drâa-Tafilalet;Opérations économiques et sociales ;2020;0;729;0;729
4- Drâa-Tafilalet;Opérations économiques et sociales ;2021;1811;1443;1220;4474
4- Drâa-Tafilalet;Opérations économiques et sociales ;2022;231;791;8000;9022
4- Drâa-Tafilalet;Opérations économiques et sociales ;2023;0;1654;15581;17235
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2016;482;0;0;482
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2017;852;0;0;852
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2018;366;0;0;366
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2019;1928;0;0;1928
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2020;1855;0;4600;6455
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2021;0;0;0;0
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2022;688;0;0;688
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2023;0;0;0;0
4- Drâa-Tafilalet;Villas;2016;128;0;0;128
4- Drâa-Tafilalet;Villas;2017;0;0;0;0
4- Drâa-Tafilalet;Villas;2018;58;0;0;58
4- Drâa-Tafilalet;Villas;2019;459;0;0;459
4- Drâa-Tafilalet;Villas;2020;92;0;0;92
4- Drâa-Tafilalet;Villas;2021;901;0;0;901
4- Drâa-Tafilalet;Villas;2022;194;0;0;194
4- Drâa-Tafilalet;Villas;2023;0;0;0;0
4- Drâa-Tafilalet;Total;2016;3488;561;0;4049
4- Drâa-Tafilalet;Total;2017;852;745;0;1597
4- Drâa-Tafilalet;Total;2018;3415;760;0;4175
4- Drâa-Tafilalet;Total;2019;2387;1368;0;3755
4- Drâa-Tafilalet;Total;2020;1947;729;0;2676
4- Drâa-Tafilalet;Total;2021;2712;1443;1220;5375
4- Drâa-Tafilalet;Total;2022;1113;791;8000;9904
4- Drâa-Tafilalet;Total;2023;0;1654;15581;17235
