Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2016;0;0;0;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2017;403;166;0;569
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2018;0;0;0;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2019;0;0;0;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2020;0;0;0;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2021;0;0;0;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2022;0;0;0;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2023;337;0;0;337
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2016;1772;6656;7170;15598
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2017;1637;9242;15125;26004
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2018;561;9406;24860;34827
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2019;528;8201;64326;73055
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2020;522;5954;48707;55183
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2021;682;6551;47901;55134
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2022;451;5225;24210;29886
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2023;6617;10740;21501;38858
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2016;1041;242;0;1283
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2017;520;232;0;752
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2018;157;0;0;157
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2019;201;96;0;297
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2020;717;300;0;1017
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2021;4500;5000;0;9500
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2022;1356;600;0;1956
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2023;1060;800;0;1860
5- Béni Mellal-Khénifra;Villas;2016;138;0;0;138
5- Béni Mellal-Khénifra;Villas;2017;67;0;0;67
5- Béni Mellal-Khénifra;Villas;2018;25;0;0;25
5- Béni Mellal-Khénifra;Villas;2019;0;0;0;0
5- Béni Mellal-Khénifra;Villas;2020;75;50;0;125
5- Béni Mellal-Khénifra;Villas;2021;200;300;0;500
5- Béni Mellal-Khénifra;Villas;2022;200;220;0;420
5- Béni Mellal-Khénifra;Villas;2023;400;400;0;800
5- Béni Mellal-Khénifra;Total;2016;2951;6898;0;9849
5- Béni Mellal-Khénifra;Total;2017;2627;9640;0;12267
5- Béni Mellal-Khénifra;Total;2018;743;9406;0;10149
5- Béni Mellal-Khénifra;Total;2019;729;8297;0;9026
5- Béni Mellal-Khénifra;Total;2020;1314;6304;0;7618
5- Béni Mellal-Khénifra;Total;2021;5382;11851;47901;65134
5- Béni Mellal-Khénifra;Total;2022;2007;6045;24210;32262
5- Béni Mellal-Khénifra;Total;2023;8414;11940;21501;41855
