Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
6- l'Oriental;Opérations à faible valeur immobilière;2016;442;32;0;474
6- l'Oriental;Opérations à faible valeur immobilière;2017;200;160;0;360
6- l'Oriental;Opérations à faible valeur immobilière;2018;538;160;0;698
6- l'Oriental;Opérations à faible valeur immobilière;2019;382;368;0;750
6- l'Oriental;Opérations à faible valeur immobilière;2020;231;192;0;423
6- l'Oriental;Opérations à faible valeur immobilière;2021;621;30;0;651
6- l'Oriental;Opérations à faible valeur immobilière;2022;945;199;0;1144
6- l'Oriental;Opérations à faible valeur immobilière;2023;932;0;0;932
6- l'Oriental;Opérations économiques et sociales  ;2016;386;4894;1114;6394
6- l'Oriental;Opérations économiques et sociales  ;2017;297;5453;28951;34701
6- l'Oriental;Opérations économiques et sociales  ;2018;350;6178;18000;24528
6- l'Oriental;Opérations économiques et sociales  ;2019;550;5032;19889;25471
6- l'Oriental;Opérations économiques et sociales  ;2020;306;2668;18428;21402
6- l'Oriental;Opérations économiques et sociales  ;2021;781;3023;9629;13433
6- l'Oriental;Opérations économiques et sociales  ;2022;1273;3796;15000;20069
6- l'Oriental;Opérations économiques et sociales  ;2023;785;8660;3800;13245
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2016;534;168;0;702
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2017;332;387;0;719
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2018;511;16;0;527
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2019;249;36;0;285
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2020;677;120;0;797
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2021;78;179;0;257
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2022;190;13;0;203
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2023;1147;699;0;1846
6- l'Oriental;Villas;2016;104;0;0;104
6- l'Oriental;Villas;2017;0;0;0;0
6- l'Oriental;Villas;2018;80;0;0;80
6- l'Oriental;Villas;2019;165;0;0;165
6- l'Oriental;Villas;2020;45;103;0;148
6- l'Oriental;Villas;2021;61;0;0;61
6- l'Oriental;Villas;2022;164;41;0;205
6- l'Oriental;Villas;2023;147;12;0;159
6- l'Oriental;Total;2016;1466;5094;0;6560
6- l'Oriental;Total;2017;829;6000;0;6829
6- l'Oriental;Total;2018;1479;6354;0;7833
6- l'Oriental;Total;2019;1346;5436;0;6782
6- l'Oriental;Total;2020;1259;3083;0;4342
6- l'Oriental;Total;2021;1541;3232;9629;14402
6- l'Oriental;Total;2022;2572;4049;15000;21621
6- l'Oriental;Total;2023;3011;9371;3800;16182
