Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2016;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2017;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2018;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2019;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2020;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2021;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2022;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2023;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2016;0;258;3200;3458
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2017;0;266;3118;3384
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2018;0;324;1000;1324
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2019;0;257;6160;6417
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2020;0;1043;600;1643
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2021;0;748;0;748
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2022;0;372;0;372
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2023;0;194;2800;2994
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2016;0;0;0;0
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2017;325;0;0;325
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2018;277;0;0;277
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2019;0;0;0;0
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2020;1019;0;0;1019
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2021;0;0;0;0
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2022;0;0;0;0
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2023;211;0;0;211
7- Laâyoune-Sakia El Hamra;Villas;2016;0;0;0;0
7- Laâyoune-Sakia El Hamra;Villas;2017;0;0;0;0
7- Laâyoune-Sakia El Hamra;Villas;2018;48;0;0;48
7- Laâyoune-Sakia El Hamra;Villas;2019;0;0;0;0
7- Laâyoune-Sakia El Hamra;Villas;2020;48;0;0;48
7- Laâyoune-Sakia El Hamra;Villas;2021;0;0;0;0
7- Laâyoune-Sakia El Hamra;Villas;2022;0;0;0;0
7- Laâyoune-Sakia El Hamra;Villas;2023;35;0;0;35
7- Laâyoune-Sakia El Hamra;Total;2016;0;258;0;258
7- Laâyoune-Sakia El Hamra;Total;2017;325;266;0;591
7- Laâyoune-Sakia El Hamra;Total;2018;325;324;0;649
7- Laâyoune-Sakia El Hamra;Total;2019;0;257;0;257
7- Laâyoune-Sakia El Hamra;Total;2020;1067;1043;0;2110
7- Laâyoune-Sakia El Hamra;Total;2021;0;748;0;748
7- Laâyoune-Sakia El Hamra;Total;2022;0;372;0;372
7- Laâyoune-Sakia El Hamra;Total;2023;246;194;2800;3240
