Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
8- Fès-Meknès;Opérations à faible valeur immobilière;2016;111;1284;0;1395
8- Fès-Meknès;Opérations à faible valeur immobilière;2017;210;151;0;361
8- Fès-Meknès;Opérations à faible valeur immobilière;2018;471;765;0;1236
8- Fès-Meknès;Opérations à faible valeur immobilière;2019;514;192;0;706
8- Fès-Meknès;Opérations à faible valeur immobilière;2020;0;293;0;293
8- Fès-Meknès;Opérations à faible valeur immobilière;2021;1498;0;0;1498
8- Fès-Meknès;Opérations à faible valeur immobilière;2022;880;224;0;1104
8- Fès-Meknès;Opérations à faible valeur immobilière;2023;0;168;0;168
8- Fès-Meknès;Opérations économiques et sociales  ;2016;2710;19266;18365;40341
8- Fès-Meknès;Opérations économiques et sociales  ;2017;2284;21519;22570;46373
8- Fès-Meknès;Opérations économiques et sociales  ;2018;2013;20794;42443;65250
8- Fès-Meknès;Opérations économiques et sociales  ;2019;2043;18102;21969;42114
8- Fès-Meknès;Opérations économiques et sociales  ;2020;1858;13065;25294;40217
8- Fès-Meknès;Opérations économiques et sociales  ;2021;539;12307;22059;34905
8- Fès-Meknès;Opérations économiques et sociales  ;2022;276;8649;8859;17784
8- Fès-Meknès;Opérations économiques et sociales  ;2023;785;8902;10807;20494
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2016;1680;530;0;2210
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2017;1481;2699;0;4180
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2018;903;2364;0;3267
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2019;922;2093;0;3015
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2020;1395;2320;0;3715
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2021;560;1163;0;1723
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2022;902;1003;0;1905
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2023;1126;1986;0;3112
8- Fès-Meknès;Villas;2016;61;5;0;66
8- Fès-Meknès;Villas;2017;411;142;0;553
8- Fès-Meknès;Villas;2018;218;93;0;311
8- Fès-Meknès;Villas;2019;207;103;0;310
8- Fès-Meknès;Villas;2020;284;76;0;360
8- Fès-Meknès;Villas;2021;142;256;0;398
8- Fès-Meknès;Villas;2022;69;98;0;167
8- Fès-Meknès;Villas;2023;19;249;0;268
8- Fès-Meknès;Total;2016;4562;21085;0;25647
8- Fès-Meknès;Total;2017;4386;24511;0;28897
8- Fès-Meknès;Total;2018;3605;24016;0;27621
8- Fès-Meknès;Total;2019;3686;20490;0;24176
8- Fès-Meknès;Total;2020;3537;15754;0;19291
8- Fès-Meknès;Total;2021;2739;13726;22059;38524
8- Fès-Meknès;Total;2022;2127;9974;8859;20960
8- Fès-Meknès;Total;2023;1930;11305;10807;24042
