Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
9- Souss-Massa;Opérations à faible valeur immobilière;2016;568;684;0;1252
9- Souss-Massa;Opérations à faible valeur immobilière;2017;689;450;0;1139
9- Souss-Massa;Opérations à faible valeur immobilière;2018;24;538;0;562
9- Souss-Massa;Opérations à faible valeur immobilière;2019;1085;364;0;1449
9- Souss-Massa;Opérations à faible valeur immobilière;2020;0;1110;0;1110
9- Souss-Massa;Opérations à faible valeur immobilière;2021;545;0;0;545
9- Souss-Massa;Opérations à faible valeur immobilière;2022;0;0;0;0
9- Souss-Massa;Opérations à faible valeur immobilière;2023;348;209;0;557
9- Souss-Massa;Opérations économiques et sociales;2016;158;14730;11742;26630
9- Souss-Massa;Opérations économiques et sociales;2017;2516;14667;11571;28754
9- Souss-Massa;Opérations économiques et sociales;2018;176;15545;7430;23151
9- Souss-Massa;Opérations économiques et sociales;2019;0;14154;7327;21481
9- Souss-Massa;Opérations économiques et sociales;2020;0;6202;4500;10702
9- Souss-Massa;Opérations économiques et sociales;2021;0;7568;4320;11888
9- Souss-Massa;Opérations économiques et sociales;2022;0;27646;5265;32911
9- Souss-Massa;Opérations économiques et sociales;2023;0;4893;5713;10606
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2016;1457;483;0;1940
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2017;1215;91;0;1306
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2018;493;1366;0;1859
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2019;1453;2868;0;4321
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2020;1161;127;0;1288
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2021;351;80;0;431
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2022;912;64;0;976
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2023;620;967;0;1587
9- Souss-Massa;Villas;2016;0;0;0;0
9- Souss-Massa;Villas;2017;0;216;0;216
9- Souss-Massa;Villas;2018;13;0;0;13
9- Souss-Massa;Villas;2019;83;0;0;83
9- Souss-Massa;Villas;2020;0;17;0;17
9- Souss-Massa;Villas;2021;0;18;0;18
9- Souss-Massa;Villas;2022;0;90;0;90
9- Souss-Massa;Villas;2023;322;0;0;322
9- Souss-Massa;Total;2016;2183;15897;0;18080
9- Souss-Massa;Total;2017;4420;15424;0;19844
9- Souss-Massa;Total;2018;706;17449;0;18155
9- Souss-Massa;Total;2019;2621;17386;0;20007
9- Souss-Massa;Total;2020;1161;7456;0;8617
9- Souss-Massa;Total;2021;896;7666;4320;12882
9- Souss-Massa;Total;2022;912;27800;5265;33977
9- Souss-Massa;Total;2023;1290;6069;5713;13072
