Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
10- Casablanca-Settat;Opérations à faible valeur immobilière;2016;1800;0;0;1800
10- Casablanca-Settat;Opérations à faible valeur immobilière;2017;206;179;0;385
10- Casablanca-Settat;Opérations à faible valeur immobilière;2018;536;805;0;1341
10- Casablanca-Settat;Opérations à faible valeur immobilière;2019;0;0;0;0
10- Casablanca-Settat;Opérations à faible valeur immobilière;2020;239;0;0;239
10- Casablanca-Settat;Opérations à faible valeur immobilière;2021;0;0;0;0
10- Casablanca-Settat;Opérations à faible valeur immobilière;2022;0;0;0;0
10- Casablanca-Settat;Opérations à faible valeur immobilière;2023;0;52;0;52
10- Casablanca-Settat;Opérations économiques et sociales ;2016;280;17300;17715;35295
10- Casablanca-Settat;Opérations économiques et sociales ;2017;1787;19883;19974;41644
10- Casablanca-Settat;Opérations économiques et sociales ;2018;2110;15223;18756;36089
10- Casablanca-Settat;Opérations économiques et sociales ;2019;3663;25796;13259;42718
10- Casablanca-Settat;Opérations économiques et sociales ;2020;864;11177;7493;19534
10- Casablanca-Settat;Opérations économiques et sociales ;2021;288;11471;2874;14633
10- Casablanca-Settat;Opérations économiques et sociales ;2022;881;7629;433;8943
10- Casablanca-Settat;Opérations économiques et sociales ;2023;243;25311;450;26004
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2016;1064;3095;0;4159
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2017;337;8446;0;8783
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2018;2473;17149;0;19622
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2019;2368;13379;0;15747
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2020;379;4553;0;4932
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2021;170;7892;0;8062
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2022;238;5830;0;6068
10- Casablanca-Settat;App, en Immeubles (moyen et haut standing….);2023;4048;23746;0;27794
10- Casablanca-Settat;Villas;2016;552;80;0;632
10- Casablanca-Settat;Villas;2017;249;269;0;518
10- Casablanca-Settat;Villas;2018;468;254;0;722
10- Casablanca-Settat;Villas;2019;397;842;0;1239
10- Casablanca-Settat;Villas;2020;225;96;0;321
10- Casablanca-Settat;Villas;2021;244;255;0;499
10- Casablanca-Settat;Villas;2022;24;393;0;417
10- Casablanca-Settat;Villas;2023;100;318;0;418
10- Casablanca-Settat;Total;2016;3696;20475;0;24171
10- Casablanca-Settat;Total;2017;2579;28777;0;31356
10- Casablanca-Settat;Total;2018;5587;33431;0;39018
10- Casablanca-Settat;Total;2019;6428;40017;0;46445
10- Casablanca-Settat;Total;2020;1707;15826;0;17533
10- Casablanca-Settat;Total;2021;702;19618;2874;23194
10- Casablanca-Settat;Total;2022;1143;13852;433;15428
10- Casablanca-Settat;Total;2023;4391;49427;450;54268
