Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2016;2643;47;0;2690
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2017;1614;0;0;1614
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2018;3852;61;0;3913
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2019;36;554;0;590
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2020;3507;855;0;4362
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2021;2247;0;0;2247
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2022;707;386;0;1093
11- Rabat-Salé-Kénitra;Opérations à faible valeur immobilière;2023;1867;901;0;2768
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2016;4225;27167;7923;39315
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2017;2110;29516;4261;35887
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2018;790;23997;81;24868
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2019;1311;15939;3000;20250
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2020;4420;21172;44;25636
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2021;6145;19714;0;25859
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2022;1502;19980;0;21482
11- Rabat-Salé-Kénitra;Opérations économiques et sociales  ;2023;1238;30274;0;31512
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2016;97;3639;0;3736
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2017;261;3634;0;3895
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2018;1031;3669;0;4700
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2019;998;2640;0;3638
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2020;135;3988;0;4123
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2021;826;3900;0;4726
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2022;205;5120;0;5325
11- Rabat-Salé-Kénitra;App, en Immeubles (moyen et haut standing….);2023;323;6542;0;6865
11- Rabat-Salé-Kénitra;Villas;2016;100;134;0;234
11- Rabat-Salé-Kénitra;Villas;2017;0;329;0;329
11- Rabat-Salé-Kénitra;Villas;2018;113;111;0;224
11- Rabat-Salé-Kénitra;Villas;2019;1089;296;0;1385
11- Rabat-Salé-Kénitra;Villas;2020;168;237;0;405
11- Rabat-Salé-Kénitra;Villas;2021;553;761;0;1314
11- Rabat-Salé-Kénitra;Villas;2022;815;1103;0;1918
11- Rabat-Salé-Kénitra;Villas;2023;787;1023;0;1810
11- Rabat-Salé-Kénitra;Total;2016;7065;30987;0;38052
11- Rabat-Salé-Kénitra;Total;2017;3985;33479;0;37464
11- Rabat-Salé-Kénitra;Total;2018;5786;27838;0;33624
11- Rabat-Salé-Kénitra;Total;2019;3434;19429;0;22863
11- Rabat-Salé-Kénitra;Total;2020;8230;26252;0;34482
11- Rabat-Salé-Kénitra;Total;2021;9771;24375;0;34146
11- Rabat-Salé-Kénitra;Total;2022;3229;26589;0;29818
11- Rabat-Salé-Kénitra;Total;2023;4215;38740;0;42955
