Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
12- Marrakech-Safi;Opérations à faible valeur immobilière;2016;1199;334;0;1533
12- Marrakech-Safi;Opérations à faible valeur immobilière;2017;208;67;0;275
12- Marrakech-Safi;Opérations à faible valeur immobilière;2018;216;412;0;628
12- Marrakech-Safi;Opérations à faible valeur immobilière;2019;771;68;0;839
12- Marrakech-Safi;Opérations à faible valeur immobilière;2020;242;0;0;242
12- Marrakech-Safi;Opérations à faible valeur immobilière;2021;22;0;0;22
12- Marrakech-Safi;Opérations à faible valeur immobilière;2022;152;96;0;248
12- Marrakech-Safi;Opérations à faible valeur immobilière;2023;10;0;0;10
12- Marrakech-Safi;Opérations économiques et sociales  ;2016;828;8656;13410;22894
12- Marrakech-Safi;Opérations économiques et sociales  ;2017;906;4596;20127;25629
12- Marrakech-Safi;Opérations économiques et sociales  ;2018;780;8749;17597;27126
12- Marrakech-Safi;Opérations économiques et sociales  ;2019;304;9825;10921;21050
12- Marrakech-Safi;Opérations économiques et sociales  ;2020;463;6321;16160;22944
12- Marrakech-Safi;Opérations économiques et sociales  ;2021;1334;6218;11249;18801
12- Marrakech-Safi;Opérations économiques et sociales  ;2022;1496;6462;6753;14711
12- Marrakech-Safi;Opérations économiques et sociales  ;2023;2247;30215;2748;35210
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2016;3121;1422;0;4543
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2017;1218;1173;0;2391
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2018;1703;1360;0;3063
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2019;561;1184;0;1745
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2020;195;399;0;594
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2021;220;240;0;460
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2022;1959;64;0;2023
12- Marrakech-Safi;App, en Immeubles (moyen et haut standing….);2023;146;30;0;176
12- Marrakech-Safi;Villas;2016;303;0;0;303
12- Marrakech-Safi;Villas;2017;28;0;0;28
12- Marrakech-Safi;Villas;2018;89;328;0;417
12- Marrakech-Safi;Villas;2019;128;189;0;317
12- Marrakech-Safi;Villas;2020;45;84;0;129
12- Marrakech-Safi;Villas;2021;40;1;0;41
12- Marrakech-Safi;Villas;2022;40;20;0;60
12- Marrakech-Safi;Villas;2023;266;1153;0;1419
12- Marrakech-Safi;Total;2016;5451;10412;0;15863
12- Marrakech-Safi;Total;2017;2360;5836;0;8196
12- Marrakech-Safi;Total;2018;2788;10849;0;13637
12- Marrakech-Safi;Total;2019;1764;11266;0;13030
12- Marrakech-Safi;Total;2020;945;6804;0;7749
12- Marrakech-Safi;Total;2021;1616;6459;11249;19324
12- Marrakech-Safi;Total;2022;3647;6642;6753;17042
12- Marrakech-Safi;Total;2023;2669;31398;2748;36815
