Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2016;196;0;0;196
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2017;1742;754;0;2496
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2018;272;0;0;272
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2019;800;558;0;1358
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2020;748;142;0;890
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2021;360;0;0;360
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2022;0;0;0;0
1- Tanger-Tétouan-Al Hoceïma;Opérations à faible valeur immobilière;2023;0;0;0;0
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2016;53;12323;0;12376
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2017;0;9566;2915;12481
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2018;0;6937;0;6937
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2019;540;14646;4348;19534
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2020;417;7633;12046;20096
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2021;1741;5506;7327;14574
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2022;0;6386;1646;8032
1- Tanger-Tétouan-Al Hoceïma;Opérations économiques et sociales  ;2023;0;12553;1500;14053
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2016;51;3924;0;3975
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2017;382;3783;0;4165
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2018;300;3889;0;4189
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2019;401;4441;0;4842
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2020;378;3272;0;3650
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2021;151;1470;0;1621
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2022;139;1854;0;1993
1- Tanger-Tétouan-Al Hoceïma;App, en Immeubles (moyen et haut standing….);2023;59;4263;0;4322
1- Tanger-Tétouan-Al Hoceïma;Villas;2016;0;118;0;118
1- Tanger-Tétouan-Al Hoceïma;Villas;2017;0;276;0;276
1- Tanger-Tétouan-Al Hoceïma;Villas;2018;6;100;0;106
1- Tanger-Tétouan-Al Hoceïma;Villas;2019;0;216;0;216
1- Tanger-Tétouan-Al Hoceïma;Villas;2020;0;62;0;62
1- Tanger-Tétouan-Al Hoceïma;Villas;2021;0;86;0;86
1- Tanger-Tétouan-Al Hoceïma;Villas;2022;111;101;0;212
1- Tanger-Tétouan-Al Hoceïma;Villas;2023;26;176;0;202
1- Tanger-Tétouan-Al Hoceïma;Total;2016;300;16365;0;16665
1- Tanger-Tétouan-Al Hoceïma;Total;2017;2124;14379;0;16503
1- Tanger-Tétouan-Al Hoceïma;Total;2018;578;10926;0;11504
1- Tanger-Tétouan-Al Hoceïma;Total;2019;1741;19861;0;21602
1- Tanger-Tétouan-Al Hoceïma;Total;2020;1543;11109;0;12652
1- Tanger-Tétouan-Al Hoceïma;Total;2021;2252;7062;7327;16641
1- Tanger-Tétouan-Al Hoceïma;Total;2022;250;8341;1646;10237
1- Tanger-Tétouan-Al Hoceïma;Total;2023;85;16992;1500;18577
