Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2016;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2017;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2018;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2019;0;50;0;50
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2020;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2021;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2022;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations à faible valeur immobilière;2023;0;0;0;0
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2016;0;838;0;838
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2017;476;775;0;1251
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2018;0;458;0;458
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2019;200;624;5000;5824
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2020;0;1828;0;1828
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2021;816;629;5000;6445
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2022;0;426;0;426
2- Dakhla-Oued Ed Dahab;Opérations économiques et sociales  ;2023;120;455;0;575
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2016;0;24;0;24
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2017;32;56;0;88
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2018;506;25;0;531
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2019;0;30;0;30
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2020;0;236;0;236
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2021;0;104;0;104
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2022;0;55;0;55
2- Dakhla-Oued Ed Dahab;App, en Immeubles (moyen et haut standing….);2023;0;193;0;193
2- Dakhla-Oued Ed Dahab;Villas;2016;0;0;0;0
2- Dakhla-Oued Ed Dahab;Villas;2017;0;0;0;0
2- Dakhla-Oued Ed Dahab;Villas;2018;0;0;0;0
2- Dakhla-Oued Ed Dahab;Villas;2019;0;610;0;610
2- Dakhla-Oued Ed Dahab;Villas;2020;0;769;0;769
2- Dakhla-Oued Ed Dahab;Villas;2021;0;0;0;0
2- Dakhla-Oued Ed Dahab;Villas;2022;0;0;0;0
2- Dakhla-Oued Ed Dahab;Villas;2023;0;574;0;574
2- Dakhla-Oued Ed Dahab;Total;2016;0;862;0;862
2- Dakhla-Oued Ed Dahab;Total;2017;508;831;0;1339
2- Dakhla-Oued Ed Dahab;Total;2018;506;483;0;989
2- Dakhla-Oued Ed Dahab;Total;2019;200;1314;0;1514
2- Dakhla-Oued Ed Dahab;Total;2020;0;2833;0;2833
2- Dakhla-Oued Ed Dahab;Total;2021;816;733;5000;6549
2- Dakhla-Oued Ed Dahab;Total;2022;0;481;0;481
2- Dakhla-Oued Ed Dahab;Total;2023;120;1222;0;1342
