Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2016;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2017;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2018;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2019;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2020;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2021;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2022;0;0;0;0
3- Guelmim-Oued Noun;Opérations à faible valeur immobilière;2023;0;0;0;0
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2016;300;1539;0;1839
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2017;0;1020;6640;7660
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2018;0;915;0;915
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2019;0;964;2772;3736
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2020;0;722;4164;4886
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2021;0;894;3200;4094
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2022;0;3764;0;3764
3- Guelmim-Oued Noun;Opérations économiques et sociales  ;2023;0;784;3642;4426
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2016;100;0;0;100
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2017;258;0;0;258
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2018;0;0;0;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2019;0;0;0;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2020;0;0;0;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2021;0;0;0;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2022;0;0;0;0
3- Guelmim-Oued Noun;App, en Immeubles (moyen et haut standing….);2023;0;0;0;0
3- Guelmim-Oued Noun;Villas;2016;0;0;0;0
3- Guelmim-Oued Noun;Villas;2017;0;0;0;0
3- Guelmim-Oued Noun;Villas;2018;0;0;0;0
3- Guelmim-Oued Noun;Villas;2019;0;0;0;0
3- Guelmim-Oued Noun;Villas;2020;0;0;0;0
3- Guelmim-Oued Noun;Villas;2021;0;0;0;0
3- Guelmim-Oued Noun;Villas;2022;0;0;0;0
3- Guelmim-Oued Noun;Villas;2023;0;0;0;0
3- Guelmim-Oued Noun;Total;2016;400;1539;0;1939
3- Guelmim-Oued Noun;Total;2017;258;1020;0;1278
3- Guelmim-Oued Noun;Total;2018;0;915;0;915
3- Guelmim-Oued Noun;Total;2019;0;964;0;964
3- Guelmim-Oued Noun;Total;2020;0;722;0;722
3- Guelmim-Oued Noun;Total;2021;0;894;3200;4094
3- Guelmim-Oued Noun;Total;2022;0;3764;0;3764
3- Guelmim-Oued Noun;Total;2023;0;784;3642;4426
