Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2016;74;0;0;74
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2017;0;0;0;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2018;50;0;0;50
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2019;0;0;0;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2020;0;0;0;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2021;0;0;0;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2022;0;0;0;0
4- Drâa-Tafilalet;Opérations  à faible valeur immobilière;2023;0;0;0;0
4- Drâa-Tafilalet;Opérations économiques et sociales ;2016;350;95;3980;4425
4- Drâa-Tafilalet;Opérations économiques et sociales ;2017;0;915;12360;13275
4- Drâa-Tafilalet;Opérations économiques et sociales ;2018;1179;1926;2200;5305
4- Drâa-Tafilalet;Opérations économiques et sociales ;2019;267;3618;4000;7885
4- Drâa-Tafilalet;Opérations économiques et sociales ;2020;0;966;3367;4333
4- Drâa-Tafilalet;Opérations économiques et sociales ;2021;0;2138;4700;6838
4- Drâa-Tafilalet;Opérations économiques et sociales ;2022;351;1748;14322;16421
4- Drâa-Tafilalet;Opérations économiques et sociales ;2023;0;1624;14573;16197
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2016;0;0;0;0
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2017;415;0;0;415
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2018;1476;0;0;1476
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2019;1022;0;0;1022
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2020;558;0;0;558
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2021;0;0;0;0
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2022;260;0;0;260
4- Drâa-Tafilalet;App, en Immeubles (moyen et haut standing….);2023;0;0;0;0
4- Drâa-Tafilalet;Villas;2016;0;0;0;0
4- Drâa-Tafilalet;Villas;2017;107;0;0;107
4- Drâa-Tafilalet;Villas;2018;20;0;0;20
4- Drâa-Tafilalet;Villas;2019;0;0;0;0
4- Drâa-Tafilalet;Villas;2020;51;0;0;51
4- Drâa-Tafilalet;Villas;2021;0;0;0;0
4- Drâa-Tafilalet;Villas;2022;0;0;0;0
4- Drâa-Tafilalet;Villas;2023;0;0;0;0
4- Drâa-Tafilalet;Total;2016;424;95;0;519
4- Drâa-Tafilalet;Total;2017;522;915;0;1437
4- Drâa-Tafilalet;Total;2018;2725;1926;0;4651
4- Drâa-Tafilalet;Total;2019;1289;3618;0;4907
4- Drâa-Tafilalet;Total;2020;609;966;0;1575
4- Drâa-Tafilalet;Total;2021;0;2138;4700;6838
4- Drâa-Tafilalet;Total;2022;611;1748;14322;16681
4- Drâa-Tafilalet;Total;2023;0;1624;14573;16197
