Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2016;0;200;0;200
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2017;1320;0;0;1320
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2018;0;0;0;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2019;0;0;0;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2020;0;0;0;0
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2021;946;0;0;946
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2022;34;245;0;279
5- Béni Mellal-Khénifra;Opérations à faible valeur immobilière;2023;0;0;0;0
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2016;1823;8375;17195;27393
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2017;2742;8272;129;11143
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2018;2671;18058;29574;50303
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2019;874;8506;82213;91593
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2020;46;3766;29550;33362
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2021;343;6219;27500;34062
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2022;243;5000;19501;24744
5- Béni Mellal-Khénifra;Opérations économiques et sociales  à faible valeur immobilière;2023;13307;22320;42900;78527
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2016;1236;342;0;1578
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2017;1353;152;0;1505
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2018;128;34;0;162
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2019;95;54;0;149
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2020;427;300;0;727
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2021;3048;2500;0;5548
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2022;1336;600;0;1936
5- Béni Mellal-Khénifra;App, en Immeubles (moyen et haut standing….);2023;700;2682;0;3382
5- Béni Mellal-Khénifra;Villas;2016;158;0;0;158
5- Béni Mellal-Khénifra;Villas;2017;276;0;0;276
5- Béni Mellal-Khénifra;Villas;2018;138;0;0;138
5- Béni Mellal-Khénifra;Villas;2019;10;0;0;10
5- Béni Mellal-Khénifra;Villas;2020;50;50;0;100
5- Béni Mellal-Khénifra;Villas;2021;300;450;0;750
5- Béni Mellal-Khénifra;Villas;2022;200;240;0;440
5- Béni Mellal-Khénifra;Villas;2023;360;410;0;770
5- Béni Mellal-Khénifra;Total;2016;3217;8917;0;12134
5- Béni Mellal-Khénifra;Total;2017;5691;8424;0;14115
5- Béni Mellal-Khénifra;Total;2018;2937;18092;0;21029
5- Béni Mellal-Khénifra;Total;2019;979;8560;0;9539
5- Béni Mellal-Khénifra;Total;2020;523;4116;0;4639
5- Béni Mellal-Khénifra;Total;2021;4637;9169;27500;41306
5- Béni Mellal-Khénifra;Total;2022;1813;6085;19501;27399
5- Béni Mellal-Khénifra;Total;2023;14367;25412;42900;82679
