Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
6- l'Oriental;Opérations à faible valeur immobilière;2016;0;0;0;0
6- l'Oriental;Opérations à faible valeur immobilière;2017;0;0;0;0
6- l'Oriental;Opérations à faible valeur immobilière;2018;954;0;0;954
6- l'Oriental;Opérations à faible valeur immobilière;2019;95;30;0;125
6- l'Oriental;Opérations à faible valeur immobilière;2020;383;0;0;383
6- l'Oriental;Opérations à faible valeur immobilière;2021;520;52;0;572
6- l'Oriental;Opérations à faible valeur immobilière;2022;3120;710;0;3830
6- l'Oriental;Opérations à faible valeur immobilière;2023;300;0;0;300
6- l'Oriental;Opérations économiques et sociales  ;2016;815;5960;24190;30965
6- l'Oriental;Opérations économiques et sociales  ;2017;1217;5690;24599;31506
6- l'Oriental;Opérations économiques et sociales  ;2018;431;5458;9000;14889
6- l'Oriental;Opérations économiques et sociales  ;2019;1470;5523;23638;30631
6- l'Oriental;Opérations économiques et sociales  ;2020;530;3607;21900;26037
6- l'Oriental;Opérations économiques et sociales  ;2021;3225;7638;20840;31703
6- l'Oriental;Opérations économiques et sociales  ;2022;3326;6203;13000;22529
6- l'Oriental;Opérations économiques et sociales  ;2023;1106;11204;12000;24310
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2016;1572;274;0;1846
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2017;350;440;0;790
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2018;686;0;0;686
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2019;642;220;0;862
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2020;0;0;0;0
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2021;1646;986;0;2632
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2022;669;381;0;1050
6- l'Oriental;App, en Immeubles (moyen et haut standing….);2023;124;590;0;714
6- l'Oriental;Villas;2016;60;0;0;60
6- l'Oriental;Villas;2017;270;33;0;303
6- l'Oriental;Villas;2018;660;33;0;693
6- l'Oriental;Villas;2019;68;0;0;68
6- l'Oriental;Villas;2020;473;0;0;473
6- l'Oriental;Villas;2021;708;29;0;737
6- l'Oriental;Villas;2022;778;148;0;926
6- l'Oriental;Villas;2023;456;6;0;462
6- l'Oriental;Total;2016;2447;6234;0;8681
6- l'Oriental;Total;2017;1837;6163;0;8000
6- l'Oriental;Total;2018;2731;5491;0;8222
6- l'Oriental;Total;2019;2275;5773;0;8048
6- l'Oriental;Total;2020;1386;3607;0;4993
6- l'Oriental;Total;2021;6099;8705;20840;35644
6- l'Oriental;Total;2022;7893;7442;13000;28335
6- l'Oriental;Total;2023;1986;11800;12000;25786
