Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2016;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2017;0;310;0;310
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2018;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2019;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2020;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2021;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2022;665;0;0;665
7- Laâyoune-Sakia El Hamra;Opérations à faible valeur immobilière;2023;0;0;0;0
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2016;367;1142;51118;52627
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2017;512;1490;0;2002
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2018;0;1608;6221;7829
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2019;0;850;0;850
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2020;0;2128;0;2128
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2021;1781;1086;0;2867
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2022;0;740;2800;3540
7- Laâyoune-Sakia El Hamra;Opérations économiques et sociales  ;2023;0;659;0;659
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2016;0;0;0;0
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2017;204;0;0;204
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2018;928;0;0;928
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2019;425;0;0;425
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2020;0;0;0;0
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2021;145;0;0;145
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2022;1056;0;0;1056
7- Laâyoune-Sakia El Hamra;App, en Immeubles (moyen et haut standing….);2023;0;0;0;0
7- Laâyoune-Sakia El Hamra;Villas;2016;264;0;0;264
7- Laâyoune-Sakia El Hamra;Villas;2017;0;0;0;0
7- Laâyoune-Sakia El Hamra;Villas;2018;0;0;0;0
7- Laâyoune-Sakia El Hamra;Villas;2019;0;0;0;0
7- Laâyoune-Sakia El Hamra;Villas;2020;156;0;0;156
7- Laâyoune-Sakia El Hamra;Villas;2021;0;0;0;0
7- Laâyoune-Sakia El Hamra;Villas;2022;0;0;0;0
7- Laâyoune-Sakia El Hamra;Villas;2023;0;0;0;0
7- Laâyoune-Sakia El Hamra;Total;2016;631;1142;0;1773
7- Laâyoune-Sakia El Hamra;Total;2017;716;1800;0;2516
7- Laâyoune-Sakia El Hamra;Total;2018;928;1608;0;2536
7- Laâyoune-Sakia El Hamra;Total;2019;425;850;0;1275
7- Laâyoune-Sakia El Hamra;Total;2020;156;2128;0;2284
7- Laâyoune-Sakia El Hamra;Total;2021;1926;1086;0;3012
7- Laâyoune-Sakia El Hamra;Total;2022;1721;740;2800;5261
7- Laâyoune-Sakia El Hamra;Total;2023;0;659;0;659
