Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
8- Fès-Meknès;Opérations à faible valeur immobilière;2016;1430;0;0;1430
8- Fès-Meknès;Opérations à faible valeur immobilière;2017;0;194;0;194
8- Fès-Meknès;Opérations à faible valeur immobilière;2018;0;83;0;83
8- Fès-Meknès;Opérations à faible valeur immobilière;2019;1256;194;0;1450
8- Fès-Meknès;Opérations à faible valeur immobilière;2020;827;0;0;827
8- Fès-Meknès;Opérations à faible valeur immobilière;2021;673;231;0;904
8- Fès-Meknès;Opérations à faible valeur immobilière;2022;0;0;0;0
8- Fès-Meknès;Opérations à faible valeur immobilière;2023;0;0;0;0
8- Fès-Meknès;Opérations économiques et sociales  ;2016;3786;18042;16329;38157
8- Fès-Meknès;Opérations économiques et sociales  ;2017;3689;17414;32709;53812
8- Fès-Meknès;Opérations économiques et sociales  ;2018;2694;20237;34079;57010
8- Fès-Meknès;Opérations économiques et sociales  ;2019;2824;16035;31781;50640
8- Fès-Meknès;Opérations économiques et sociales  ;2020;1580;9259;25618;36457
8- Fès-Meknès;Opérations économiques et sociales  ;2021;3007;10588;26752;40347
8- Fès-Meknès;Opérations économiques et sociales  ;2022;1318;6465;21214;28997
8- Fès-Meknès;Opérations économiques et sociales  ;2023;783;7288;5496;13567
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2016;1309;840;0;2149
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2017;2203;2158;0;4361
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2018;3987;2580;0;6567
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2019;1388;1603;0;2991
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2020;1428;1669;0;3097
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2021;527;885;0;1412
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2022;606;585;0;1191
8- Fès-Meknès;App, en Immeubles (moyen et haut standing….);2023;947;2256;0;3203
8- Fès-Meknès;Villas;2016;618;15;0;633
8- Fès-Meknès;Villas;2017;394;298;0;692
8- Fès-Meknès;Villas;2018;218;198;0;416
8- Fès-Meknès;Villas;2019;150;93;0;243
8- Fès-Meknès;Villas;2020;179;16;0;195
8- Fès-Meknès;Villas;2021;10;583;0;593
8- Fès-Meknès;Villas;2022;34;117;0;151
8- Fès-Meknès;Villas;2023;65;214;0;279
8- Fès-Meknès;Total;2016;7143;18897;0;26040
8- Fès-Meknès;Total;2017;6286;20064;0;26350
8- Fès-Meknès;Total;2018;6899;23098;0;29997
8- Fès-Meknès;Total;2019;5618;17925;0;23543
8- Fès-Meknès;Total;2020;4014;10944;0;14958
8- Fès-Meknès;Total;2021;4217;12287;26752;43256
8- Fès-Meknès;Total;2022;1958;7167;21214;30339
8- Fès-Meknès;Total;2023;1795;9758;5496;17049
