Régions;Catégories;Année;Lots;Logements;Unites de restructuration;Total des Unités
9- Souss-Massa;Opérations à faible valeur immobilière;2016;170;0;0;170
9- Souss-Massa;Opérations à faible valeur immobilière;2017;0;215;0;215
9- Souss-Massa;Opérations à faible valeur immobilière;2018;0;0;0;0
9- Souss-Massa;Opérations à faible valeur immobilière;2019;800;210;0;1010
9- Souss-Massa;Opérations à faible valeur immobilière;2020;0;0;0;0
9- Souss-Massa;Opérations à faible valeur immobilière;2021;0;0;0;0
9- Souss-Massa;Opérations à faible valeur immobilière;2022;0;0;0;0
9- Souss-Massa;Opérations à faible valeur immobilière;2023;0;0;0;0
9- Souss-Massa;Opérations économiques et sociales;2016;968;15789;16676;33433
9- Souss-Massa;Opérations économiques et sociales;2017;0;11469;9864;21333
9- Souss-Massa;Opérations économiques et sociales;2018;300;13174;11815;25289
9- Souss-Massa;Opérations économiques et sociales;2019;1246;18645;8261;28152
9- Souss-Massa;Opérations économiques et sociales;2020;0;4515;9546;14061
9- Souss-Massa;Opérations économiques et sociales;2021;206;7283;6502;13991
9- Souss-Massa;Opérations économiques et sociales;2022;0;7728;7367;15095
9- Souss-Massa;Opérations économiques et sociales;2023;0;5322;6660;11982
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2016;458;2159;0;2617
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2017;213;278;0;491
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2018;506;936;0;1442
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2019;636;844;0;1480
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2020;687;916;0;1603
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2021;51;70;0;121
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2022;988;18;0;1006
9- Souss-Massa;App, en Immeubles (moyen et haut standing….);2023;513;886;0;1399
9- Souss-Massa;Villas;2016;0;0;0;0
9- Souss-Massa;Villas;2017;0;35;0;35
9- Souss-Massa;Villas;2018;26;28;0;54
9- Souss-Massa;Villas;2019;109;0;0;109
9- Souss-Massa;Villas;2020;0;75;0;75
9- Souss-Massa;Villas;2021;0;6;0;6
9- Souss-Massa;Villas;2022;0;7;0;7
9- Souss-Massa;Villas;2023;403;1;0;404
9- Souss-Massa;Total;2016;1596;17948;0;19544
9- Souss-Massa;Total;2017;213;11997;0;12210
9- Souss-Massa;Total;2018;832;14138;0;14970
9- Souss-Massa;Total;2019;2791;19699;0;22490
9- Souss-Massa;Total;2020;687;5506;0;6193
9- Souss-Massa;Total;2021;257;7359;6502;14118
9- Souss-Massa;Total;2022;988;7753;7367;16108
9- Souss-Massa;Total;2023;916;6209;6660;13785
